CODICE ISTAT,COMUNE,ln,posC,desc_lis_c,voti
043057,Visso,4,3,ITALIA VIVA,10
043057,Visso,5,3,MARCHE CORAGGIOSE,4
043057,Visso,3,3,PARTITO DEMOCRATICO,64
043057,Visso,6,3,LE NOSTRE MARCHE e IL CENTRO,3
043057,Visso,8,3,MANGIALARDI PRESIDENTE,5
043057,Visso,15,7,CIVITAS CIVICI,8
043057,Visso,14,7,LEGA SALVINI MARCHE,188
043057,Visso,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,28
043057,Visso,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,2
043057,Visso,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,81
043057,Visso,16,7,MOVIMENTO PER LE MARCHE,6
043057,Visso,9,4,MOVIMENTO 5 STELLE,17
043057,Visso,1,1,VOX ITALIA MARCHE,3
043057,Visso,10,5,DIPENDE DA NOI,4
043057,Visso,11,6,COMUNISTA!,6
043057,Visso,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,0
043058,Valfornace,,,,0
043058,Valfornace,7,3,RINASCI MARCHE,17
043058,Valfornace,4,3,ITALIA VIVA,8
043058,Valfornace,5,3,MARCHE CORAGGIOSE,3
043058,Valfornace,3,3,PARTITO DEMOCRATICO,40
043058,Valfornace,6,3,LE NOSTRE MARCHE e IL CENTRO,1
043058,Valfornace,8,3,MANGIALARDI PRESIDENTE,1
043058,Valfornace,15,7,CIVITAS CIVICI,13
043058,Valfornace,14,7,LEGA SALVINI MARCHE,110
043058,Valfornace,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,105
043058,Valfornace,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,7
043058,Valfornace,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,64
043058,Valfornace,16,7,MOVIMENTO PER LE MARCHE,7
043058,Valfornace,9,4,MOVIMENTO 5 STELLE,17
043058,Valfornace,1,1,VOX ITALIA MARCHE,2
043058,Valfornace,10,5,DIPENDE DA NOI,4
043058,Valfornace,11,6,COMUNISTA!,1
043058,Valfornace,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,4
044001,Acquasanta Terme,,,,1
044001,Acquasanta Terme,1,1,VOX ITALIA MARCHE,2
044001,Acquasanta Terme,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,7
044001,Acquasanta Terme,11,6,COMUNISTA!,12
044001,Acquasanta Terme,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,298
044001,Acquasanta Terme,14,7,LEGA SALVINI MARCHE,304
044001,Acquasanta Terme,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,34
044001,Acquasanta Terme,15,7,CIVITAS CIVICI,29
044001,Acquasanta Terme,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,62
044001,Acquasanta Terme,16,7,MOVIMENTO PER LE MARCHE,13
044001,Acquasanta Terme,10,5,DIPENDE DA NOI,1
044001,Acquasanta Terme,9,4,MOVIMENTO 5 STELLE,62
044001,Acquasanta Terme,8,3,MANGIALARDI PRESIDENTE,17
044001,Acquasanta Terme,4,3,ITALIA VIVA,15
044001,Acquasanta Terme,5,3,MARCHE CORAGGIOSE,2
044001,Acquasanta Terme,3,3,PARTITO DEMOCRATICO,319
044001,Acquasanta Terme,6,3,LE NOSTRE MARCHE e IL CENTRO,26
044001,Acquasanta Terme,7,3,RINASCI MARCHE,7
044002,Acquaviva Picena,,,,1
044002,Acquaviva Picena,1,1,VOX ITALIA MARCHE,3
044002,Acquaviva Picena,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,3
044002,Acquaviva Picena,11,6,COMUNISTA!,20
044002,Acquaviva Picena,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,411
044002,Acquaviva Picena,14,7,LEGA SALVINI MARCHE,267
044002,Acquaviva Picena,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,18
044002,Acquaviva Picena,15,7,CIVITAS CIVICI,9
044002,Acquaviva Picena,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,70
044002,Acquaviva Picena,16,7,MOVIMENTO PER LE MARCHE,73
044002,Acquaviva Picena,10,5,DIPENDE DA NOI,22
044002,Acquaviva Picena,9,4,MOVIMENTO 5 STELLE,121
044002,Acquaviva Picena,8,3,MANGIALARDI PRESIDENTE,35
044002,Acquaviva Picena,4,3,ITALIA VIVA,36
044002,Acquaviva Picena,5,3,MARCHE CORAGGIOSE,13
044002,Acquaviva Picena,3,3,PARTITO DEMOCRATICO,217
044002,Acquaviva Picena,6,3,LE NOSTRE MARCHE e IL CENTRO,29
044002,Acquaviva Picena,7,3,RINASCI MARCHE,136
044005,Appignano del Tronto,,,,2
044005,Appignano del Tronto,1,1,VOX ITALIA MARCHE,7
044005,Appignano del Tronto,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,2
044005,Appignano del Tronto,11,6,COMUNISTA!,14
044005,Appignano del Tronto,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,221
044005,Appignano del Tronto,14,7,LEGA SALVINI MARCHE,257
044005,Appignano del Tronto,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,15
044005,Appignano del Tronto,15,7,CIVITAS CIVICI,17
044005,Appignano del Tronto,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,62
044005,Appignano del Tronto,16,7,MOVIMENTO PER LE MARCHE,4
044005,Appignano del Tronto,10,5,DIPENDE DA NOI,7
044005,Appignano del Tronto,9,4,MOVIMENTO 5 STELLE,57
044005,Appignano del Tronto,8,3,MANGIALARDI PRESIDENTE,23
044005,Appignano del Tronto,4,3,ITALIA VIVA,16
044005,Appignano del Tronto,5,3,MARCHE CORAGGIOSE,3
044005,Appignano del Tronto,3,3,PARTITO DEMOCRATICO,209
044005,Appignano del Tronto,6,3,LE NOSTRE MARCHE e IL CENTRO,33
044005,Appignano del Tronto,7,3,RINASCI MARCHE,23
044006,Arquata del Tronto,,,,0
044006,Arquata del Tronto,1,1,VOX ITALIA MARCHE,1
044006,Arquata del Tronto,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,0
044006,Arquata del Tronto,11,6,COMUNISTA!,7
044006,Arquata del Tronto,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,95
044006,Arquata del Tronto,14,7,LEGA SALVINI MARCHE,72
044006,Arquata del Tronto,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,10
044006,Arquata del Tronto,15,7,CIVITAS CIVICI,98
044006,Arquata del Tronto,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,36
044006,Arquata del Tronto,16,7,MOVIMENTO PER LE MARCHE,3
044006,Arquata del Tronto,10,5,DIPENDE DA NOI,4
044006,Arquata del Tronto,9,4,MOVIMENTO 5 STELLE,21
044006,Arquata del Tronto,8,3,MANGIALARDI PRESIDENTE,0
044006,Arquata del Tronto,4,3,ITALIA VIVA,4
044006,Arquata del Tronto,5,3,MARCHE CORAGGIOSE,1
044006,Arquata del Tronto,3,3,PARTITO DEMOCRATICO,128
044006,Arquata del Tronto,6,3,LE NOSTRE MARCHE e IL CENTRO,0
044006,Arquata del Tronto,7,3,RINASCI MARCHE,4
041019,Gabicce Mare,10,5,DIPENDE DA NOI,14
041019,Gabicce Mare,,,,5
041019,Gabicce Mare,11,6,COMUNISTA!,44
041019,Gabicce Mare,9,4,MOVIMENTO 5 STELLE,227
041019,Gabicce Mare,4,3,ITALIA VIVA,22
041019,Gabicce Mare,3,3,PARTITO DEMOCRATICO,733
041019,Gabicce Mare,6,3,LE NOSTRE MARCHE e IL CENTRO,18
041019,Gabicce Mare,5,3,MARCHE CORAGGIOSE,26
041019,Gabicce Mare,8,3,MANGIALARDI PRESIDENTE,14
041019,Gabicce Mare,7,3,RINASCI MARCHE,82
041019,Gabicce Mare,1,1,VOX ITALIA MARCHE,30
041019,Gabicce Mare,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,247
041019,Gabicce Mare,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,96
041019,Gabicce Mare,14,7,LEGA SALVINI MARCHE,570
041019,Gabicce Mare,16,7,MOVIMENTO PER LE MARCHE,10
041019,Gabicce Mare,15,7,CIVITAS CIVICI,3
041019,Gabicce Mare,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,19
041019,Gabicce Mare,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,31
044007,Ascoli Piceno,,,,23
044007,Ascoli Piceno,1,1,VOX ITALIA MARCHE,59
044007,Ascoli Piceno,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,27
044007,Ascoli Piceno,11,6,COMUNISTA!,196
044007,Ascoli Piceno,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,5667
044007,Ascoli Piceno,14,7,LEGA SALVINI MARCHE,4688
044007,Ascoli Piceno,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,275
044007,Ascoli Piceno,15,7,CIVITAS CIVICI,1159
044007,Ascoli Piceno,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,1429
044007,Ascoli Piceno,16,7,MOVIMENTO PER LE MARCHE,247
044007,Ascoli Piceno,10,5,DIPENDE DA NOI,288
044007,Ascoli Piceno,9,4,MOVIMENTO 5 STELLE,1148
044007,Ascoli Piceno,8,3,MANGIALARDI PRESIDENTE,284
044007,Ascoli Piceno,4,3,ITALIA VIVA,546
044007,Ascoli Piceno,5,3,MARCHE CORAGGIOSE,125
044007,Ascoli Piceno,3,3,PARTITO DEMOCRATICO,4686
044007,Ascoli Piceno,6,3,LE NOSTRE MARCHE e IL CENTRO,474
044007,Ascoli Piceno,7,3,RINASCI MARCHE,230
044010,Carassai,,,,0
044010,Carassai,1,1,VOX ITALIA MARCHE,1
044010,Carassai,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,0
044010,Carassai,11,6,COMUNISTA!,8
044010,Carassai,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,104
044010,Carassai,14,7,LEGA SALVINI MARCHE,141
044010,Carassai,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,2
044010,Carassai,15,7,CIVITAS CIVICI,1
044010,Carassai,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,36
044010,Carassai,16,7,MOVIMENTO PER LE MARCHE,1
044010,Carassai,10,5,DIPENDE DA NOI,3
044010,Carassai,9,4,MOVIMENTO 5 STELLE,28
044010,Carassai,8,3,MANGIALARDI PRESIDENTE,10
044010,Carassai,4,3,ITALIA VIVA,8
044010,Carassai,5,3,MARCHE CORAGGIOSE,3
044010,Carassai,3,3,PARTITO DEMOCRATICO,104
044010,Carassai,6,3,LE NOSTRE MARCHE e IL CENTRO,4
044010,Carassai,7,3,RINASCI MARCHE,4
044011,Castel di Lama,,,,25
044011,Castel di Lama,1,1,VOX ITALIA MARCHE,10
044011,Castel di Lama,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,15
044011,Castel di Lama,11,6,COMUNISTA!,61
044011,Castel di Lama,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,845
044011,Castel di Lama,14,7,LEGA SALVINI MARCHE,599
044011,Castel di Lama,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,44
044011,Castel di Lama,15,7,CIVITAS CIVICI,53
044011,Castel di Lama,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,114
044011,Castel di Lama,16,7,MOVIMENTO PER LE MARCHE,11
044011,Castel di Lama,10,5,DIPENDE DA NOI,90
044011,Castel di Lama,9,4,MOVIMENTO 5 STELLE,340
044011,Castel di Lama,8,3,MANGIALARDI PRESIDENTE,133
044011,Castel di Lama,4,3,ITALIA VIVA,57
044011,Castel di Lama,5,3,MARCHE CORAGGIOSE,15
044011,Castel di Lama,3,3,PARTITO DEMOCRATICO,744
044011,Castel di Lama,6,3,LE NOSTRE MARCHE e IL CENTRO,318
044011,Castel di Lama,7,3,RINASCI MARCHE,34
044012,Castignano,,,,4
044012,Castignano,1,1,VOX ITALIA MARCHE,19
044012,Castignano,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,8
044012,Castignano,11,6,COMUNISTA!,9
044012,Castignano,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,348
044012,Castignano,14,7,LEGA SALVINI MARCHE,300
044012,Castignano,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,11
044012,Castignano,15,7,CIVITAS CIVICI,16
044012,Castignano,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,73
044012,Castignano,16,7,MOVIMENTO PER LE MARCHE,2
044012,Castignano,10,5,DIPENDE DA NOI,5
044012,Castignano,9,4,MOVIMENTO 5 STELLE,50
044012,Castignano,8,3,MANGIALARDI PRESIDENTE,42
044012,Castignano,4,3,ITALIA VIVA,57
044012,Castignano,5,3,MARCHE CORAGGIOSE,0
044012,Castignano,3,3,PARTITO DEMOCRATICO,245
044012,Castignano,6,3,LE NOSTRE MARCHE e IL CENTRO,40
044012,Castignano,7,3,RINASCI MARCHE,8
044013,Castorano,,,,0
044013,Castorano,1,1,VOX ITALIA MARCHE,5
044013,Castorano,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,1
044013,Castorano,11,6,COMUNISTA!,12
044013,Castorano,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,136
044013,Castorano,14,7,LEGA SALVINI MARCHE,127
044013,Castorano,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,11
044013,Castorano,15,7,CIVITAS CIVICI,8
044013,Castorano,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,41
044013,Castorano,16,7,MOVIMENTO PER LE MARCHE,2
044013,Castorano,10,5,DIPENDE DA NOI,6
044013,Castorano,9,4,MOVIMENTO 5 STELLE,63
044013,Castorano,8,3,MANGIALARDI PRESIDENTE,69
044013,Castorano,4,3,ITALIA VIVA,8
044013,Castorano,5,3,MARCHE CORAGGIOSE,11
044013,Castorano,3,3,PARTITO DEMOCRATICO,384
044013,Castorano,6,3,LE NOSTRE MARCHE e IL CENTRO,49
044013,Castorano,7,3,RINASCI MARCHE,13
044014,Colli del Tronto,,,,1
044014,Colli del Tronto,1,1,VOX ITALIA MARCHE,5
044014,Colli del Tronto,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,8
044014,Colli del Tronto,11,6,COMUNISTA!,13
044014,Colli del Tronto,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,211
044014,Colli del Tronto,14,7,LEGA SALVINI MARCHE,225
044014,Colli del Tronto,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,8
044014,Colli del Tronto,15,7,CIVITAS CIVICI,11
044014,Colli del Tronto,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,41
044014,Colli del Tronto,16,7,MOVIMENTO PER LE MARCHE,19
044014,Colli del Tronto,10,5,DIPENDE DA NOI,38
044014,Colli del Tronto,9,4,MOVIMENTO 5 STELLE,58
044014,Colli del Tronto,8,3,MANGIALARDI PRESIDENTE,717
044014,Colli del Tronto,4,3,ITALIA VIVA,31
044014,Colli del Tronto,5,3,MARCHE CORAGGIOSE,5
044014,Colli del Tronto,3,3,PARTITO DEMOCRATICO,274
044014,Colli del Tronto,6,3,LE NOSTRE MARCHE e IL CENTRO,62
044014,Colli del Tronto,7,3,RINASCI MARCHE,14
044015,Comunanza,,,,1
044015,Comunanza,1,1,VOX ITALIA MARCHE,1
044015,Comunanza,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,1
044015,Comunanza,11,6,COMUNISTA!,16
044015,Comunanza,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,391
044015,Comunanza,14,7,LEGA SALVINI MARCHE,305
044015,Comunanza,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,13
044015,Comunanza,15,7,CIVITAS CIVICI,52
044015,Comunanza,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,56
044015,Comunanza,16,7,MOVIMENTO PER LE MARCHE,5
044015,Comunanza,10,5,DIPENDE DA NOI,2
044015,Comunanza,9,4,MOVIMENTO 5 STELLE,61
044015,Comunanza,8,3,MANGIALARDI PRESIDENTE,9
044015,Comunanza,4,3,ITALIA VIVA,11
044015,Comunanza,5,3,MARCHE CORAGGIOSE,3
044015,Comunanza,3,3,PARTITO DEMOCRATICO,489
044015,Comunanza,6,3,LE NOSTRE MARCHE e IL CENTRO,13
044015,Comunanza,7,3,RINASCI MARCHE,16
044016,Cossignano,,,,0
044016,Cossignano,1,1,VOX ITALIA MARCHE,1
044016,Cossignano,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,2
044016,Cossignano,11,6,COMUNISTA!,5
044016,Cossignano,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,76
044016,Cossignano,14,7,LEGA SALVINI MARCHE,146
044016,Cossignano,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,8
044016,Cossignano,15,7,CIVITAS CIVICI,1
044016,Cossignano,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,31
044016,Cossignano,16,7,MOVIMENTO PER LE MARCHE,2
044016,Cossignano,10,5,DIPENDE DA NOI,12
044016,Cossignano,9,4,MOVIMENTO 5 STELLE,25
044016,Cossignano,8,3,MANGIALARDI PRESIDENTE,5
044016,Cossignano,4,3,ITALIA VIVA,5
044016,Cossignano,5,3,MARCHE CORAGGIOSE,0
044016,Cossignano,3,3,PARTITO DEMOCRATICO,198
044016,Cossignano,6,3,LE NOSTRE MARCHE e IL CENTRO,5
044016,Cossignano,7,3,RINASCI MARCHE,10
044017,Cupra Marittima,,,,5
044017,Cupra Marittima,1,1,VOX ITALIA MARCHE,9
044017,Cupra Marittima,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,0
044017,Cupra Marittima,11,6,COMUNISTA!,27
044017,Cupra Marittima,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,429
044017,Cupra Marittima,14,7,LEGA SALVINI MARCHE,576
044017,Cupra Marittima,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,15
044017,Cupra Marittima,15,7,CIVITAS CIVICI,13
044017,Cupra Marittima,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,83
044017,Cupra Marittima,16,7,MOVIMENTO PER LE MARCHE,18
044017,Cupra Marittima,10,5,DIPENDE DA NOI,20
044017,Cupra Marittima,9,4,MOVIMENTO 5 STELLE,121
044017,Cupra Marittima,8,3,MANGIALARDI PRESIDENTE,79
044017,Cupra Marittima,4,3,ITALIA VIVA,49
044017,Cupra Marittima,5,3,MARCHE CORAGGIOSE,12
044017,Cupra Marittima,3,3,PARTITO DEMOCRATICO,462
044017,Cupra Marittima,6,3,LE NOSTRE MARCHE e IL CENTRO,29
044017,Cupra Marittima,7,3,RINASCI MARCHE,28
044020,Folignano,,,,2
044020,Folignano,1,1,VOX ITALIA MARCHE,9
044020,Folignano,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,3
044020,Folignano,11,6,COMUNISTA!,32
044020,Folignano,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,928
044020,Folignano,14,7,LEGA SALVINI MARCHE,898
044020,Folignano,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,54
044020,Folignano,15,7,CIVITAS CIVICI,117
044020,Folignano,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,241
044020,Folignano,16,7,MOVIMENTO PER LE MARCHE,80
044020,Folignano,10,5,DIPENDE DA NOI,38
044020,Folignano,9,4,MOVIMENTO 5 STELLE,280
044020,Folignano,8,3,MANGIALARDI PRESIDENTE,52
044020,Folignano,4,3,ITALIA VIVA,80
044020,Folignano,5,3,MARCHE CORAGGIOSE,19
044020,Folignano,3,3,PARTITO DEMOCRATICO,913
044020,Folignano,6,3,LE NOSTRE MARCHE e IL CENTRO,88
044020,Folignano,7,3,RINASCI MARCHE,39
041020,Gradara,10,5,DIPENDE DA NOI,17
041020,Gradara,,,,0
041020,Gradara,11,6,COMUNISTA!,45
041020,Gradara,9,4,MOVIMENTO 5 STELLE,220
041020,Gradara,4,3,ITALIA VIVA,17
041020,Gradara,3,3,PARTITO DEMOCRATICO,517
041020,Gradara,6,3,LE NOSTRE MARCHE e IL CENTRO,15
041020,Gradara,5,3,MARCHE CORAGGIOSE,23
041020,Gradara,8,3,MANGIALARDI PRESIDENTE,10
041020,Gradara,7,3,RINASCI MARCHE,39
041020,Gradara,1,1,VOX ITALIA MARCHE,10
041020,Gradara,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,189
041020,Gradara,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,66
041020,Gradara,14,7,LEGA SALVINI MARCHE,488
041020,Gradara,16,7,MOVIMENTO PER LE MARCHE,10
041020,Gradara,15,7,CIVITAS CIVICI,1
041020,Gradara,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,11
041020,Gradara,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,18
044021,Force,,,,1
044021,Force,1,1,VOX ITALIA MARCHE,0
044021,Force,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,0
044021,Force,11,6,COMUNISTA!,3
044021,Force,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,45
044021,Force,14,7,LEGA SALVINI MARCHE,80
044021,Force,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,4
044021,Force,15,7,CIVITAS CIVICI,0
044021,Force,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,2
044021,Force,16,7,MOVIMENTO PER LE MARCHE,3
044021,Force,10,5,DIPENDE DA NOI,0
044021,Force,9,4,MOVIMENTO 5 STELLE,14
044021,Force,8,3,MANGIALARDI PRESIDENTE,0
044021,Force,4,3,ITALIA VIVA,1
044021,Force,5,3,MARCHE CORAGGIOSE,1
044021,Force,3,3,PARTITO DEMOCRATICO,656
044021,Force,6,3,LE NOSTRE MARCHE e IL CENTRO,3
044021,Force,7,3,RINASCI MARCHE,0
044023,Grottammare,,,,10
044023,Grottammare,1,1,VOX ITALIA MARCHE,25
044023,Grottammare,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,17
044023,Grottammare,11,6,COMUNISTA!,64
044023,Grottammare,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,1229
044023,Grottammare,14,7,LEGA SALVINI MARCHE,1439
044023,Grottammare,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,90
044023,Grottammare,15,7,CIVITAS CIVICI,45
044023,Grottammare,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,563
044023,Grottammare,16,7,MOVIMENTO PER LE MARCHE,135
044023,Grottammare,10,5,DIPENDE DA NOI,218
044023,Grottammare,9,4,MOVIMENTO 5 STELLE,518
044023,Grottammare,8,3,MANGIALARDI PRESIDENTE,115
044023,Grottammare,4,3,ITALIA VIVA,257
044023,Grottammare,5,3,MARCHE CORAGGIOSE,84
044023,Grottammare,3,3,PARTITO DEMOCRATICO,1598
044023,Grottammare,6,3,LE NOSTRE MARCHE e IL CENTRO,204
044023,Grottammare,7,3,RINASCI MARCHE,105
044027,Maltignano,,,,1
044027,Maltignano,1,1,VOX ITALIA MARCHE,3
044027,Maltignano,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,6
044027,Maltignano,11,6,COMUNISTA!,13
044027,Maltignano,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,618
044027,Maltignano,14,7,LEGA SALVINI MARCHE,148
044027,Maltignano,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,4
044027,Maltignano,15,7,CIVITAS CIVICI,30
044027,Maltignano,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,48
044027,Maltignano,16,7,MOVIMENTO PER LE MARCHE,11
044027,Maltignano,10,5,DIPENDE DA NOI,3
044027,Maltignano,9,4,MOVIMENTO 5 STELLE,75
044027,Maltignano,8,3,MANGIALARDI PRESIDENTE,13
044027,Maltignano,4,3,ITALIA VIVA,10
044027,Maltignano,5,3,MARCHE CORAGGIOSE,3
044027,Maltignano,3,3,PARTITO DEMOCRATICO,147
044027,Maltignano,6,3,LE NOSTRE MARCHE e IL CENTRO,9
044027,Maltignano,7,3,RINASCI MARCHE,16
044029,Massignano,,,,1
044029,Massignano,1,1,VOX ITALIA MARCHE,1
044029,Massignano,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,1
044029,Massignano,11,6,COMUNISTA!,7
044029,Massignano,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,128
044029,Massignano,14,7,LEGA SALVINI MARCHE,188
044029,Massignano,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,4
044029,Massignano,15,7,CIVITAS CIVICI,3
044029,Massignano,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,30
044029,Massignano,16,7,MOVIMENTO PER LE MARCHE,9
044029,Massignano,10,5,DIPENDE DA NOI,18
044029,Massignano,9,4,MOVIMENTO 5 STELLE,42
044029,Massignano,8,3,MANGIALARDI PRESIDENTE,10
044029,Massignano,4,3,ITALIA VIVA,50
044029,Massignano,5,3,MARCHE CORAGGIOSE,8
044029,Massignano,3,3,PARTITO DEMOCRATICO,139
044029,Massignano,6,3,LE NOSTRE MARCHE e IL CENTRO,9
044029,Massignano,7,3,RINASCI MARCHE,5
044031,Monsampolo del Tronto,,,,1
044031,Monsampolo del Tronto,1,1,VOX ITALIA MARCHE,5
044031,Monsampolo del Tronto,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,3
044031,Monsampolo del Tronto,11,6,COMUNISTA!,14
044031,Monsampolo del Tronto,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,259
044031,Monsampolo del Tronto,14,7,LEGA SALVINI MARCHE,365
044031,Monsampolo del Tronto,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,33
044031,Monsampolo del Tronto,15,7,CIVITAS CIVICI,16
044031,Monsampolo del Tronto,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,67
044031,Monsampolo del Tronto,16,7,MOVIMENTO PER LE MARCHE,24
044031,Monsampolo del Tronto,10,5,DIPENDE DA NOI,23
044031,Monsampolo del Tronto,9,4,MOVIMENTO 5 STELLE,178
044031,Monsampolo del Tronto,8,3,MANGIALARDI PRESIDENTE,135
044031,Monsampolo del Tronto,4,3,ITALIA VIVA,49
044031,Monsampolo del Tronto,5,3,MARCHE CORAGGIOSE,1
044031,Monsampolo del Tronto,3,3,PARTITO DEMOCRATICO,355
044031,Monsampolo del Tronto,6,3,LE NOSTRE MARCHE e IL CENTRO,47
044031,Monsampolo del Tronto,7,3,RINASCI MARCHE,99
044032,Montalto delle Marche,,,,0
044032,Montalto delle Marche,1,1,VOX ITALIA MARCHE,3
044032,Montalto delle Marche,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,1
044032,Montalto delle Marche,11,6,COMUNISTA!,11
044032,Montalto delle Marche,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,61
044032,Montalto delle Marche,14,7,LEGA SALVINI MARCHE,596
044032,Montalto delle Marche,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,5
044032,Montalto delle Marche,15,7,CIVITAS CIVICI,7
