CODICE ISTAT,COMUNE,cogn,nome,d_nasc_cand,l_nasc,voti
043047,San Severino Marche,Acquaroli,Francesco,25/09/1974,Macerata,3793
043047,San Severino Marche,Mercorelli,Gian-Mario,06/02/1973,Macerata,485
043047,San Severino Marche,Banzato,Sabrina Paola,21/02/1964,Castellanza,27
043047,San Severino Marche,Mancini,Roberto,,,105
043047,San Severino Marche,Pasquinelli,Fabio,10/01/1981,Osimo,90
043047,San Severino Marche,Iannetti,Anna Rita,26/08/1953,Brittoli,31
043048,Sant'Angelo in Pontano,Contigiani,Alessandra,05/04/1982,Macerata,3
043048,Sant'Angelo in Pontano,Mangialardi,Maurizio,17/11/1964,Ancona,142
043048,Sant'Angelo in Pontano,Acquaroli,Francesco,25/09/1974,Macerata,426
043048,Sant'Angelo in Pontano,Mercorelli,Gian-Mario,06/02/1973,Macerata,37
043048,Sant'Angelo in Pontano,Banzato,Sabrina Paola,21/02/1964,Castellanza,2
043048,Sant'Angelo in Pontano,Mancini,Roberto,,,9
043048,Sant'Angelo in Pontano,Pasquinelli,Fabio,10/01/1981,Osimo,16
043048,Sant'Angelo in Pontano,Iannetti,Anna Rita,26/08/1953,Brittoli,1
043049,Sarnano,Contigiani,Alessandra,05/04/1982,Macerata,2
043049,Sarnano,Mangialardi,Maurizio,17/11/1964,Ancona,452
043049,Sarnano,Acquaroli,Francesco,25/09/1974,Macerata,930
043049,Sarnano,Mercorelli,Gian-Mario,06/02/1973,Macerata,81
043049,Sarnano,Banzato,Sabrina Paola,21/02/1964,Castellanza,9
043049,Sarnano,Mancini,Roberto,,,8
043049,Sarnano,Pasquinelli,Fabio,10/01/1981,Osimo,14
043049,Sarnano,Iannetti,Anna Rita,26/08/1953,Brittoli,6
043050,Sefro,Contigiani,Alessandra,05/04/1982,Macerata,0
043050,Sefro,Mangialardi,Maurizio,17/11/1964,Ancona,65
043050,Sefro,Acquaroli,Francesco,25/09/1974,Macerata,130
043050,Sefro,Mercorelli,Gian-Mario,06/02/1973,Macerata,3
043050,Sefro,Banzato,Sabrina Paola,21/02/1964,Castellanza,0
043050,Sefro,Mancini,Roberto,,,2
043050,Sefro,Pasquinelli,Fabio,10/01/1981,Osimo,2
043050,Sefro,Iannetti,Anna Rita,26/08/1953,Brittoli,1
043051,Serrapetrona,Contigiani,Alessandra,05/04/1982,Macerata,3
043051,Serrapetrona,Mangialardi,Maurizio,17/11/1964,Ancona,131
043051,Serrapetrona,Acquaroli,Francesco,25/09/1974,Macerata,283
043051,Serrapetrona,Mercorelli,Gian-Mario,06/02/1973,Macerata,55
043051,Serrapetrona,Banzato,Sabrina Paola,21/02/1964,Castellanza,3
043051,Serrapetrona,Mancini,Roberto,,,16
043051,Serrapetrona,Pasquinelli,Fabio,10/01/1981,Osimo,6
043051,Serrapetrona,Iannetti,Anna Rita,26/08/1953,Brittoli,1
043052,Serravalle di Chienti,Contigiani,Alessandra,05/04/1982,Macerata,1
043052,Serravalle di Chienti,Mangialardi,Maurizio,17/11/1964,Ancona,206
043052,Serravalle di Chienti,Acquaroli,Francesco,25/09/1974,Macerata,266
043052,Serravalle di Chienti,Mercorelli,Gian-Mario,06/02/1973,Macerata,22
043052,Serravalle di Chienti,Banzato,Sabrina Paola,21/02/1964,Castellanza,1
043052,Serravalle di Chienti,Mancini,Roberto,,,2
043052,Serravalle di Chienti,Pasquinelli,Fabio,10/01/1981,Osimo,3
043052,Serravalle di Chienti,Iannetti,Anna Rita,26/08/1953,Brittoli,0
041018,Frontone,Mancini,Roberto,,,13
041018,Frontone,Contigiani,Alessandra,05/04/1982,Macerata,2
041018,Frontone,Pasquinelli,Fabio,10/01/1981,Osimo,7
041018,Frontone,Mercorelli,Gian-Mario,06/02/1973,Macerata,53
041018,Frontone,Mangialardi,Maurizio,17/11/1964,Ancona,315
041018,Frontone,Banzato,Sabrina Paola,21/02/1964,Castellanza,3
041018,Frontone,Acquaroli,Francesco,25/09/1974,Macerata,293
041018,Frontone,Iannetti,Anna Rita,26/08/1953,Brittoli,1
043053,Tolentino,Contigiani,Alessandra,05/04/1982,Macerata,19
043053,Tolentino,Mangialardi,Maurizio,17/11/1964,Ancona,2531
043053,Tolentino,Acquaroli,Francesco,25/09/1974,Macerata,5010
043053,Tolentino,Mercorelli,Gian-Mario,06/02/1973,Macerata,1309
043053,Tolentino,Banzato,Sabrina Paola,21/02/1964,Castellanza,54
043053,Tolentino,Mancini,Roberto,,,260
043053,Tolentino,Pasquinelli,Fabio,10/01/1981,Osimo,174
043053,Tolentino,Iannetti,Anna Rita,26/08/1953,Brittoli,45
043054,Treia,Contigiani,Alessandra,05/04/1982,Macerata,17
043054,Treia,Mangialardi,Maurizio,17/11/1964,Ancona,1116
043054,Treia,Acquaroli,Francesco,25/09/1974,Macerata,2842
043054,Treia,Mercorelli,Gian-Mario,06/02/1973,Macerata,325
043054,Treia,Banzato,Sabrina Paola,21/02/1964,Castellanza,24
043054,Treia,Mancini,Roberto,,,49
043054,Treia,Pasquinelli,Fabio,10/01/1981,Osimo,55
043054,Treia,Iannetti,Anna Rita,26/08/1953,Brittoli,20
043055,Urbisaglia,Contigiani,Alessandra,05/04/1982,Macerata,41
043055,Urbisaglia,Mangialardi,Maurizio,17/11/1964,Ancona,521
043055,Urbisaglia,Acquaroli,Francesco,25/09/1974,Macerata,665
043055,Urbisaglia,Mercorelli,Gian-Mario,06/02/1973,Macerata,117
043055,Urbisaglia,Banzato,Sabrina Paola,21/02/1964,Castellanza,6
043055,Urbisaglia,Mancini,Roberto,,,20
043055,Urbisaglia,Pasquinelli,Fabio,10/01/1981,Osimo,12
043055,Urbisaglia,Iannetti,Anna Rita,26/08/1953,Brittoli,4
043056,Ussita,Contigiani,Alessandra,05/04/1982,Macerata,0
043056,Ussita,Mangialardi,Maurizio,17/11/1964,Ancona,35
043056,Ussita,Acquaroli,Francesco,25/09/1974,Macerata,172
043056,Ussita,Mercorelli,Gian-Mario,06/02/1973,Macerata,15
043056,Ussita,Banzato,Sabrina Paola,21/02/1964,Castellanza,1
043056,Ussita,Mancini,Roberto,,,7
043056,Ussita,Pasquinelli,Fabio,10/01/1981,Osimo,4
043056,Ussita,Iannetti,Anna Rita,26/08/1953,Brittoli,1
043057,Visso,Contigiani,Alessandra,05/04/1982,Macerata,0
043057,Visso,Mangialardi,Maurizio,17/11/1964,Ancona,132
043057,Visso,Acquaroli,Francesco,25/09/1974,Macerata,344
043057,Visso,Mercorelli,Gian-Mario,06/02/1973,Macerata,30
043057,Visso,Banzato,Sabrina Paola,21/02/1964,Castellanza,4
043057,Visso,Mancini,Roberto,,,5
043057,Visso,Pasquinelli,Fabio,10/01/1981,Osimo,9
043057,Visso,Iannetti,Anna Rita,26/08/1953,Brittoli,1
043058,Valfornace,Contigiani,Alessandra,05/04/1982,Macerata,0
043058,Valfornace,Mangialardi,Maurizio,17/11/1964,Ancona,80
043058,Valfornace,Acquaroli,Francesco,25/09/1974,Macerata,329
043058,Valfornace,Mercorelli,Gian-Mario,06/02/1973,Macerata,28
043058,Valfornace,Banzato,Sabrina Paola,21/02/1964,Castellanza,4
043058,Valfornace,Mancini,Roberto,,,6
043058,Valfornace,Pasquinelli,Fabio,10/01/1981,Osimo,5
043058,Valfornace,Iannetti,Anna Rita,26/08/1953,Brittoli,5
044001,Acquasanta Terme,Contigiani,Alessandra,05/04/1982,Macerata,2
044001,Acquasanta Terme,Banzato,Sabrina Paola,21/02/1964,Castellanza,3
044001,Acquasanta Terme,Iannetti,Anna Rita,26/08/1953,Brittoli,9
044001,Acquasanta Terme,Pasquinelli,Fabio,10/01/1981,Osimo,18
044001,Acquasanta Terme,Acquaroli,Francesco,25/09/1974,Macerata,775
044001,Acquasanta Terme,Mancini,Roberto,,,6
044001,Acquasanta Terme,Mercorelli,Gian-Mario,06/02/1973,Macerata,98
044001,Acquasanta Terme,Mangialardi,Maurizio,17/11/1964,Ancona,407
044002,Acquaviva Picena,Contigiani,Alessandra,05/04/1982,Macerata,2
044002,Acquaviva Picena,Banzato,Sabrina Paola,21/02/1964,Castellanza,3
044002,Acquaviva Picena,Iannetti,Anna Rita,26/08/1953,Brittoli,8
044002,Acquaviva Picena,Pasquinelli,Fabio,10/01/1981,Osimo,23
044002,Acquaviva Picena,Acquaroli,Francesco,25/09/1974,Macerata,891
044002,Acquaviva Picena,Mancini,Roberto,,,29
044002,Acquaviva Picena,Mercorelli,Gian-Mario,06/02/1973,Macerata,157
044002,Acquaviva Picena,Mangialardi,Maurizio,17/11/1964,Ancona,503
044005,Appignano del Tronto,Contigiani,Alessandra,05/04/1982,Macerata,2
044005,Appignano del Tronto,Banzato,Sabrina Paola,21/02/1964,Castellanza,9
044005,Appignano del Tronto,Iannetti,Anna Rita,26/08/1953,Brittoli,4
044005,Appignano del Tronto,Pasquinelli,Fabio,10/01/1981,Osimo,17
044005,Appignano del Tronto,Acquaroli,Francesco,25/09/1974,Macerata,615
044005,Appignano del Tronto,Mancini,Roberto,,,10
044005,Appignano del Tronto,Mercorelli,Gian-Mario,06/02/1973,Macerata,76
044005,Appignano del Tronto,Mangialardi,Maurizio,17/11/1964,Ancona,343
044006,Arquata del Tronto,Contigiani,Alessandra,05/04/1982,Macerata,1
044006,Arquata del Tronto,Banzato,Sabrina Paola,21/02/1964,Castellanza,2
044006,Arquata del Tronto,Iannetti,Anna Rita,26/08/1953,Brittoli,0
044006,Arquata del Tronto,Pasquinelli,Fabio,10/01/1981,Osimo,9
044006,Arquata del Tronto,Acquaroli,Francesco,25/09/1974,Macerata,332
044006,Arquata del Tronto,Mancini,Roberto,,,5
044006,Arquata del Tronto,Mercorelli,Gian-Mario,06/02/1973,Macerata,34
044006,Arquata del Tronto,Mangialardi,Maurizio,17/11/1964,Ancona,141
041019,Gabicce Mare,Mancini,Roberto,,,23
041019,Gabicce Mare,Contigiani,Alessandra,05/04/1982,Macerata,7
041019,Gabicce Mare,Pasquinelli,Fabio,10/01/1981,Osimo,60
041019,Gabicce Mare,Mercorelli,Gian-Mario,06/02/1973,Macerata,316
041019,Gabicce Mare,Mangialardi,Maurizio,17/11/1964,Ancona,1020
041019,Gabicce Mare,Banzato,Sabrina Paola,21/02/1964,Castellanza,39
041019,Gabicce Mare,Acquaroli,Francesco,25/09/1974,Macerata,1045
041019,Gabicce Mare,Iannetti,Anna Rita,26/08/1953,Brittoli,38
044007,Ascoli Piceno,Contigiani,Alessandra,05/04/1982,Macerata,34
044007,Ascoli Piceno,Banzato,Sabrina Paola,21/02/1964,Castellanza,83
044007,Ascoli Piceno,Iannetti,Anna Rita,26/08/1953,Brittoli,47
044007,Ascoli Piceno,Pasquinelli,Fabio,10/01/1981,Osimo,242
044007,Ascoli Piceno,Acquaroli,Francesco,25/09/1974,Macerata,14129
044007,Ascoli Piceno,Mancini,Roberto,,,387
044007,Ascoli Piceno,Mercorelli,Gian-Mario,06/02/1973,Macerata,1708
044007,Ascoli Piceno,Mangialardi,Maurizio,17/11/1964,Ancona,7070
044010,Carassai,Contigiani,Alessandra,05/04/1982,Macerata,0
044010,Carassai,Banzato,Sabrina Paola,21/02/1964,Castellanza,2
044010,Carassai,Iannetti,Anna Rita,26/08/1953,Brittoli,0
044010,Carassai,Pasquinelli,Fabio,10/01/1981,Osimo,11
044010,Carassai,Acquaroli,Francesco,25/09/1974,Macerata,317
044010,Carassai,Mancini,Roberto,,,8
044010,Carassai,Mercorelli,Gian-Mario,06/02/1973,Macerata,40
044010,Carassai,Mangialardi,Maurizio,17/11/1964,Ancona,145
044011,Castel di Lama,Contigiani,Alessandra,05/04/1982,Macerata,31
044011,Castel di Lama,Banzato,Sabrina Paola,21/02/1964,Castellanza,13
044011,Castel di Lama,Iannetti,Anna Rita,26/08/1953,Brittoli,18
044011,Castel di Lama,Pasquinelli,Fabio,10/01/1981,Osimo,73
044011,Castel di Lama,Acquaroli,Francesco,25/09/1974,Macerata,1757
044011,Castel di Lama,Mancini,Roberto,,,104
044011,Castel di Lama,Mercorelli,Gian-Mario,06/02/1973,Macerata,465
044011,Castel di Lama,Mangialardi,Maurizio,17/11/1964,Ancona,1445
044012,Castignano,Contigiani,Alessandra,05/04/1982,Macerata,4
044012,Castignano,Banzato,Sabrina Paola,21/02/1964,Castellanza,23
044012,Castignano,Iannetti,Anna Rita,26/08/1953,Brittoli,9
044012,Castignano,Pasquinelli,Fabio,10/01/1981,Osimo,16
044012,Castignano,Acquaroli,Francesco,25/09/1974,Macerata,802
044012,Castignano,Mancini,Roberto,,,8
044012,Castignano,Mercorelli,Gian-Mario,06/02/1973,Macerata,75
044012,Castignano,Mangialardi,Maurizio,17/11/1964,Ancona,424
044013,Castorano,Contigiani,Alessandra,05/04/1982,Macerata,0
044013,Castorano,Banzato,Sabrina Paola,21/02/1964,Castellanza,5
044013,Castorano,Iannetti,Anna Rita,26/08/1953,Brittoli,2
044013,Castorano,Pasquinelli,Fabio,10/01/1981,Osimo,13
044013,Castorano,Acquaroli,Francesco,25/09/1974,Macerata,359
044013,Castorano,Mancini,Roberto,,,13
044013,Castorano,Mercorelli,Gian-Mario,06/02/1973,Macerata,107
044013,Castorano,Mangialardi,Maurizio,17/11/1964,Ancona,588
044014,Colli del Tronto,Contigiani,Alessandra,05/04/1982,Macerata,1
044014,Colli del Tronto,Banzato,Sabrina Paola,21/02/1964,Castellanza,6
044014,Colli del Tronto,Iannetti,Anna Rita,26/08/1953,Brittoli,9
044014,Colli del Tronto,Pasquinelli,Fabio,10/01/1981,Osimo,13
044014,Colli del Tronto,Acquaroli,Francesco,25/09/1974,Macerata,554
044014,Colli del Tronto,Mancini,Roberto,,,42
044014,Colli del Tronto,Mercorelli,Gian-Mario,06/02/1973,Macerata,92
044014,Colli del Tronto,Mangialardi,Maurizio,17/11/1964,Ancona,1164
044015,Comunanza,Contigiani,Alessandra,05/04/1982,Macerata,1
044015,Comunanza,Banzato,Sabrina Paola,21/02/1964,Castellanza,1
044015,Comunanza,Iannetti,Anna Rita,26/08/1953,Brittoli,4
044015,Comunanza,Pasquinelli,Fabio,10/01/1981,Osimo,22
044015,Comunanza,Acquaroli,Francesco,25/09/1974,Macerata,851
044015,Comunanza,Mancini,Roberto,,,8
044015,Comunanza,Mercorelli,Gian-Mario,06/02/1973,Macerata,87
044015,Comunanza,Mangialardi,Maurizio,17/11/1964,Ancona,561
044016,Cossignano,Contigiani,Alessandra,05/04/1982,Macerata,2
044016,Cossignano,Banzato,Sabrina Paola,21/02/1964,Castellanza,1
044016,Cossignano,Iannetti,Anna Rita,26/08/1953,Brittoli,5
044016,Cossignano,Pasquinelli,Fabio,10/01/1981,Osimo,6
044016,Cossignano,Acquaroli,Francesco,25/09/1974,Macerata,277
044016,Cossignano,Mancini,Roberto,,,17
044016,Cossignano,Mercorelli,Gian-Mario,06/02/1973,Macerata,32
044016,Cossignano,Mangialardi,Maurizio,17/11/1964,Ancona,239
044017,Cupra Marittima,Contigiani,Alessandra,05/04/1982,Macerata,12
044017,Cupra Marittima,Banzato,Sabrina Paola,21/02/1964,Castellanza,12
044017,Cupra Marittima,Iannetti,Anna Rita,26/08/1953,Brittoli,3
044017,Cupra Marittima,Pasquinelli,Fabio,10/01/1981,Osimo,38
044017,Cupra Marittima,Acquaroli,Francesco,25/09/1974,Macerata,1266
044017,Cupra Marittima,Mancini,Roberto,,,35
044017,Cupra Marittima,Mercorelli,Gian-Mario,06/02/1973,Macerata,175
044017,Cupra Marittima,Mangialardi,Maurizio,17/11/1964,Ancona,787
044020,Folignano,Contigiani,Alessandra,05/04/1982,Macerata,2
044020,Folignano,Banzato,Sabrina Paola,21/02/1964,Castellanza,14
044020,Folignano,Iannetti,Anna Rita,26/08/1953,Brittoli,9
044020,Folignano,Pasquinelli,Fabio,10/01/1981,Osimo,42
044020,Folignano,Acquaroli,Francesco,25/09/1974,Macerata,2459
044020,Folignano,Mancini,Roberto,,,54
044020,Folignano,Mercorelli,Gian-Mario,06/02/1973,Macerata,405
044020,Folignano,Mangialardi,Maurizio,17/11/1964,Ancona,1309
041020,Gradara,Mancini,Roberto,,,25
041020,Gradara,Contigiani,Alessandra,05/04/1982,Macerata,4
041020,Gradara,Pasquinelli,Fabio,10/01/1981,Osimo,58
041020,Gradara,Mercorelli,Gian-Mario,06/02/1973,Macerata,367
041020,Gradara,Mangialardi,Maurizio,17/11/1964,Ancona,725
041020,Gradara,Banzato,Sabrina Paola,21/02/1964,Castellanza,17
041020,Gradara,Acquaroli,Francesco,25/09/1974,Macerata,838
041020,Gradara,Iannetti,Anna Rita,26/08/1953,Brittoli,31
044021,Force,Contigiani,Alessandra,05/04/1982,Macerata,1
044021,Force,Banzato,Sabrina Paola,21/02/1964,Castellanza,0
044021,Force,Iannetti,Anna Rita,26/08/1953,Brittoli,0
044021,Force,Pasquinelli,Fabio,10/01/1981,Osimo,6
044021,Force,Acquaroli,Francesco,25/09/1974,Macerata,138
044021,Force,Mancini,Roberto,,,1
044021,Force,Mercorelli,Gian-Mario,06/02/1973,Macerata,18
044021,Force,Mangialardi,Maurizio,17/11/1964,Ancona,665
044023,Grottammare,Contigiani,Alessandra,05/04/1982,Macerata,13
044023,Grottammare,Banzato,Sabrina Paola,21/02/1964,Castellanza,31
044023,Grottammare,Iannetti,Anna Rita,26/08/1953,Brittoli,33
044023,Grottammare,Pasquinelli,Fabio,10/01/1981,Osimo,80
044023,Grottammare,Acquaroli,Francesco,25/09/1974,Macerata,3721
044023,Grottammare,Mancini,Roberto,,,273
044023,Grottammare,Mercorelli,Gian-Mario,06/02/1973,Macerata,695
044023,Grottammare,Mangialardi,Maurizio,17/11/1964,Ancona,2662
044027,Maltignano,Contigiani,Alessandra,05/04/1982,Macerata,1
044027,Maltignano,Banzato,Sabrina Paola,21/02/1964,Castellanza,4
044027,Maltignano,Iannetti,Anna Rita,26/08/1953,Brittoli,10
044027,Maltignano,Pasquinelli,Fabio,10/01/1981,Osimo,15
044027,Maltignano,Acquaroli,Francesco,25/09/1974,Macerata,894
044027,Maltignano,Mancini,Roberto,,,9
044027,Maltignano,Mercorelli,Gian-Mario,06/02/1973,Macerata,111
044027,Maltignano,Mangialardi,Maurizio,17/11/1964,Ancona,218
044029,Massignano,Contigiani,Alessandra,05/04/1982,Macerata,2
044029,Massignano,Banzato,Sabrina Paola,21/02/1964,Castellanza,3
044029,Massignano,Iannetti,Anna Rita,26/08/1953,Brittoli,1
044029,Massignano,Pasquinelli,Fabio,10/01/1981,Osimo,10
044029,Massignano,Acquaroli,Francesco,25/09/1974,Macerata,404
044029,Massignano,Mancini,Roberto,,,24
044029,Massignano,Mercorelli,Gian-Mario,06/02/1973,Macerata,55
044029,Massignano,Mangialardi,Maurizio,17/11/1964,Ancona,253
044031,Monsampolo del Tronto,Contigiani,Alessandra,05/04/1982,Macerata,6
044031,Monsampolo del Tronto,Banzato,Sabrina Paola,21/02/1964,Castellanza,6
044031,Monsampolo del Tronto,Iannetti,Anna Rita,26/08/1953,Brittoli,4
044031,Monsampolo del Tronto,Pasquinelli,Fabio,10/01/1981,Osimo,19
044031,Monsampolo del Tronto,Acquaroli,Francesco,25/09/1974,Macerata,822
044031,Monsampolo del Tronto,Mancini,Roberto,,,25
044031,Monsampolo del Tronto,Mercorelli,Gian-Mario,06/02/1973,Macerata,235
044031,Monsampolo del Tronto,Mangialardi,Maurizio,17/11/1964,Ancona,777
044032,Montalto delle Marche,Contigiani,Alessandra,05/04/1982,Macerata,0
044032,Montalto delle Marche,Banzato,Sabrina Paola,21/02/1964,Castellanza,5
044032,Montalto delle Marche,Iannetti,Anna Rita,26/08/1953,Brittoli,1
044032,Montalto delle Marche,Pasquinelli,Fabio,10/01/1981,Osimo,13
044032,Montalto delle Marche,Acquaroli,Francesco,25/09/1974,Macerata,707
044032,Montalto delle Marche,Mancini,Roberto,,,12
044032,Montalto delle Marche,Mercorelli,Gian-Mario,06/02/1973,Macerata,51
044032,Montalto delle Marche,Mangialardi,Maurizio,17/11/1964,Ancona,362
044034,Montedinove,Contigiani,Alessandra,05/04/1982,Macerata,1
044034,Montedinove,Banzato,Sabrina Paola,21/02/1964,Castellanza,2
044034,Montedinove,Iannetti,Anna Rita,26/08/1953,Brittoli,3
044034,Montedinove,Pasquinelli,Fabio,10/01/1981,Osimo,1
044034,Montedinove,Acquaroli,Francesco,25/09/1974,Macerata,124
044034,Montedinove,Mancini,Roberto,,,2
044034,Montedinove,Mercorelli,Gian-Mario,06/02/1973,Macerata,12
044034,Montedinove,Mangialardi,Maurizio,17/11/1964,Ancona,136
044036,Montefiore dell'Aso,Contigiani,Alessandra,05/04/1982,Macerata,2
044036,Montefiore dell'Aso,Banzato,Sabrina Paola,21/02/1964,Castellanza,5
044036,Montefiore dell'Aso,Iannetti,Anna Rita,26/08/1953,Brittoli,3
044036,Montefiore dell'Aso,Pasquinelli,Fabio,10/01/1981,Osimo,16
044036,Montefiore dell'Aso,Acquaroli,Francesco,25/09/1974,Macerata,527
044036,Montefiore dell'Aso,Mancini,Roberto,,,19
044036,Montefiore dell'Aso,Mercorelli,Gian-Mario,06/02/1973,Macerata,66
044036,Montefiore dell'Aso,Mangialardi,Maurizio,17/11/1964,Ancona,344
044038,Montegallo,Contigiani,Alessandra,05/04/1982,Macerata,0
044038,Montegallo,Banzato,Sabrina Paola,21/02/1964,Castellanza,0
044038,Montegallo,Iannetti,Anna Rita,26/08/1953,Brittoli,0
044038,Montegallo,Pasquinelli,Fabio,10/01/1981,Osimo,0
044038,Montegallo,Acquaroli,Francesco,25/09/1974,Macerata,97
044038,Montegallo,Mancini,Roberto,,,1
044038,Montegallo,Mercorelli,Gian-Mario,06/02/1973,Macerata,11
044038,Montegallo,Mangialardi,Maurizio,17/11/1964,Ancona,111
044044,Montemonaco,Contigiani,Alessandra,05/04/1982,Macerata,1
044044,Montemonaco,Banzato,Sabrina Paola,21/02/1964,Castellanza,0
044044,Montemonaco,Iannetti,Anna Rita,26/08/1953,Brittoli,0
044044,Montemonaco,Pasquinelli,Fabio,10/01/1981,Osimo,0
044044,Montemonaco,Acquaroli,Francesco,25/09/1974,Macerata,181
044044,Montemonaco,Mancini,Roberto,,,4
044044,Montemonaco,Mercorelli,Gian-Mario,06/02/1973,Macerata,10
044044,Montemonaco,Mangialardi,Maurizio,17/11/1964,Ancona,98
041021,Isola del Piano,Mancini,Roberto,,,13
041021,Isola del Piano,Contigiani,Alessandra,05/04/1982,Macerata,1
041021,Isola del Piano,Pasquinelli,Fabio,10/01/1981,Osimo,4
041021,Isola del Piano,Mercorelli,Gian-Mario,06/02/1973,Macerata,23
041021,Isola del Piano,Mangialardi,Maurizio,17/11/1964,Ancona,135
041021,Isola del Piano,Banzato,Sabrina Paola,21/02/1964,Castellanza,1
041021,Isola del Piano,Acquaroli,Francesco,25/09/1974,Macerata,186
041021,Isola del Piano,Iannetti,Anna Rita,26/08/1953,Brittoli,3
044045,Monteprandone,Contigiani,Alessandra,05/04/1982,Macerata,4
044045,Monteprandone,Banzato,Sabrina Paola,21/02/1964,Castellanza,28
044045,Monteprandone,Iannetti,Anna Rita,26/08/1953,Brittoli,47
044045,Monteprandone,Pasquinelli,Fabio,10/01/1981,Osimo,50
044045,Monteprandone,Acquaroli,Francesco,25/09/1974,Macerata,2096
044045,Monteprandone,Mancini,Roberto,,,86
044045,Monteprandone,Mercorelli,Gian-Mario,06/02/1973,Macerata,706
044045,Monteprandone,Mangialardi,Maurizio,17/11/1964,Ancona,2117
044054,Offida,Contigiani,Alessandra,05/04/1982,Macerata,5
044054,Offida,Banzato,Sabrina Paola,21/02/1964,Castellanza,8
044054,Offida,Iannetti,Anna Rita,26/08/1953,Brittoli,3
044054,Offida,Pasquinelli,Fabio,10/01/1981,Osimo,32
044054,Offida,Acquaroli,Francesco,25/09/1974,Macerata,1061
044054,Offida,Mancini,Roberto,,,66
044054,Offida,Mercorelli,Gian-Mario,06/02/1973,Macerata,212
044054,Offida,Mangialardi,Maurizio,17/11/1964,Ancona,1085
044056,Palmiano,Contigiani,Alessandra,05/04/1982,Macerata,0
044056,Palmiano,Banzato,Sabrina Paola,21/02/1964,Castellanza,0
044056,Palmiano,Iannetti,Anna Rita,26/08/1953,Brittoli,0
044056,Palmiano,Pasquinelli,Fabio,10/01/1981,Osimo,0
044056,Palmiano,Acquaroli,Francesco,25/09/1974,Macerata,40
044056,Palmiano,Mancini,Roberto,,,0
044056,Palmiano,Mercorelli,Gian-Mario,06/02/1973,Macerata,1
044056,Palmiano,Mangialardi,Maurizio,17/11/1964,Ancona,43
044063,Ripatransone,Contigiani,Alessandra,05/04/1982,Macerata,0
044063,Ripatransone,Banzato,Sabrina Paola,21/02/1964,Castellanza,5
044063,Ripatransone,Iannetti,Anna Rita,26/08/1953,Brittoli,4
044063,Ripatransone,Pasquinelli,Fabio,10/01/1981,Osimo,14
044063,Ripatransone,Acquaroli,Francesco,25/09/1974,Macerata,762
044063,Ripatransone,Mancini,Roberto,,,44
044063,Ripatransone,Mercorelli,Gian-Mario,06/02/1973,Macerata,123
044063,Ripatransone,Mangialardi,Maurizio,17/11/1964,Ancona,1027
044064,Roccafluvione,Contigiani,Alessandra,05/04/1982,Macerata,0
044064,Roccafluvione,Banzato,Sabrina Paola,21/02/1964,Castellanza,5
044064,Roccafluvione,Iannetti,Anna Rita,26/08/1953,Brittoli,0
044064,Roccafluvione,Pasquinelli,Fabio,10/01/1981,Osimo,11
044064,Roccafluvione,Acquaroli,Francesco,25/09/1974,Macerata,516
044064,Roccafluvione,Mancini,Roberto,,,22
044064,Roccafluvione,Mercorelli,Gian-Mario,06/02/1973,Macerata,58
044064,Roccafluvione,Mangialardi,Maurizio,17/11/1964,Ancona,273
044065,Rotella,Contigiani,Alessandra,05/04/1982,Macerata,1
044065,Rotella,Banzato,Sabrina Paola,21/02/1964,Castellanza,1
044065,Rotella,Iannetti,Anna Rita,26/08/1953,Brittoli,1
044065,Rotella,Pasquinelli,Fabio,10/01/1981,Osimo,3
044065,Rotella,Acquaroli,Francesco,25/09/1974,Macerata,236
044065,Rotella,Mancini,Roberto,,,5
044065,Rotella,Mercorelli,Gian-Mario,06/02/1973,Macerata,13
044065,Rotella,Mangialardi,Maurizio,17/11/1964,Ancona,222
044066,San Benedetto del Tronto,Contigiani,Alessandra,05/04/1982,Macerata,26
044066,San Benedetto del Tronto,Banzato,Sabrina Paola,21/02/1964,Castellanza,78
044066,San Benedetto del Tronto,Iannetti,Anna Rita,26/08/1953,Brittoli,89
044066,San Benedetto del Tronto,Pasquinelli,Fabio,10/01/1981,Osimo,271
044066,San Benedetto del Tronto,Acquaroli,Francesco,25/09/1974,Macerata,10828
044066,San Benedetto del Tronto,Mancini,Roberto,,,603
044066,San Benedetto del Tronto,Mercorelli,Gian-Mario,06/02/1973,Macerata,2323
044066,San Benedetto del Tronto,Mangialardi,Maurizio,17/11/1964,Ancona,7230
044071,Spinetoli,Contigiani,Alessandra,05/04/1982,Macerata,6
044071,Spinetoli,Banzato,Sabrina Paola,21/02/1964,Castellanza,11
044071,Spinetoli,Iannetti,Anna Rita,26/08/1953,Brittoli,8
044071,Spinetoli,Pasquinelli,Fabio,10/01/1981,Osimo,37
044071,Spinetoli,Acquaroli,Francesco,25/09/1974,Macerata,1315
044071,Spinetoli,Mancini,Roberto,,,63
044071,Spinetoli,Mercorelli,Gian-Mario,06/02/1973,Macerata,311
044071,Spinetoli,Mangialardi,Maurizio,17/11/1964,Ancona,1330
044073,Venarotta,Contigiani,Alessandra,05/04/1982,Macerata,3
044073,Venarotta,Banzato,Sabrina Paola,21/02/1964,Castellanza,2
044073,Venarotta,Iannetti,Anna Rita,26/08/1953,Brittoli,1
044073,Venarotta,Pasquinelli,Fabio,10/01/1981,Osimo,9
